frame_id,seq_id,camera_id,frame_idx,time_s,file
p001,S15,K13,101,4.0,frames/pool/p001.jpg
p002,S14,K04,121,4.8,frames/pool/p002.jpg
p003,S07,K01,1651,66.0,frames/pool/p003.jpg
p004,S12,K09,51,2.0,frames/pool/p004.jpg
p005,S13,K03,351,14.0,frames/pool/p005.jpg
p006,S11,K10,101,4.0,frames/pool/p006.jpg
p007,S12,K09,451,18.0,frames/pool/p007.jpg
p008,S26,K19,251,10.0,frames/pool/p008.jpg
p009,S21,K16,551,22.0,frames/pool/p009.jpg
p010,S07,K01,1656,66.2,frames/pool/p010.jpg
p011,S07,K01,1646,65.8,frames/pool/p011.jpg
p012,S14,K04,131,5.2,frames/pool/p012.jpg
p013,S27,K20,801,32.0,frames/pool/p013.jpg
p014,S18,K08,601,24.0,frames/pool/p014.jpg
p015,S06,K07,1,0.0,frames/pool/p015.jpg
p016,S22,K09,401,16.0,frames/pool/p016.jpg
p017,S14,K04,116,4.6,frames/pool/p017.jpg
p018,S03,K20,1,0.0,frames/pool/p018.jpg
p019,S28,K19,1340,53.56,frames/pool/p019.jpg
p020,S25,K15,505,20.16,frames/pool/p020.jpg
p021,S08,K17,951,38.0,frames/pool/p021.jpg
p022,S19,K05,1301,52.0,frames/pool/p022.jpg
p023,S10,K13,1951,78.0,frames/pool/p023.jpg
p024,S14,K04,101,4.0,frames/pool/p024.jpg
p025,S02,K11,1201,48.0,frames/pool/p025.jpg
p026,S07,K01,1636,65.4,frames/pool/p026.jpg
p027,S09,K21,1,0.0,frames/pool/p027.jpg
p028,S17,K06,501,20.0,frames/pool/p028.jpg
p029,S23,K22,151,6.0,frames/pool/p029.jpg
p030,S22,K09,901,36.0,frames/pool/p030.jpg
p031,S18,K08,801,32.0,frames/pool/p031.jpg
p032,S27,K20,1,0.0,frames/pool/p032.jpg
p033,S10,K13,1551,62.0,frames/pool/p033.jpg
p034,S10,K13,751,30.0,frames/pool/p034.jpg
p035,S05,K12,651,26.0,frames/pool/p035.jpg
p036,S27,K20,401,16.0,frames/pool/p036.jpg
p037,S01,K18,101,4.0,frames/pool/p037.jpg
p038,S14,K04,106,4.2,frames/pool/p038.jpg
p039,S04,K13,951,38.0,frames/pool/p039.jpg
p040,S07,K01,1666,66.6,frames/pool/p040.jpg
p041,S26,K19,701,28.0,frames/pool/p041.jpg
p042,S25,K15,855,34.16,frames/pool/p042.jpg
p043,S03,K20,2001,80.0,frames/pool/p043.jpg
p044,S14,K04,126,5.0,frames/pool/p044.jpg
p045,S14,K04,111,4.4,frames/pool/p045.jpg
p046,S07,K01,1661,66.4,frames/pool/p046.jpg
p047,S07,K01,1641,65.6,frames/pool/p047.jpg
p048,S20,K14,201,8.0,frames/pool/p048.jpg
p049,S24,K08,451,18.0,frames/pool/p049.jpg
p050,S16,K02,1051,42.0,frames/pool/p050.jpg
